Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D6,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,88.96,65.678,180.0,top
D7,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,88.96,63.138,180.0,top
D8,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,88.96,31.2864,180.0,top
D9,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,88.96,28.848,180.0,top
D10,1N4148W,D_SOD-123,60.3088,21.2788,90.0,bottom
D11,SM712_SOT23,SOT-23,81.6804,35.1472,270.0,bottom
F1,108L,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,82.102,55.3764,0.0,top
F2,108L,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,82.102,59.8468,180.0,top
F3,108L,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,82.102,34.69,0.0,top
F4,108L,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,82.102,39.2112,180.0,top
F5,108L,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,122.234,24.5706,90.0,top
F6,108L,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,108.4164,24.5706,90.0,top
F7,108L,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,94.4464,24.5706,90.0,top
R1,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,20.634,35.6044,270.0,bottom
R2,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,23.0216,35.6044,270.0,bottom
R3,R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,130.7176,67.0496,180.0,bottom
R4,R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,116.7736,66.694,180.0,bottom
R5,R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,102.9676,66.694,180.0,bottom
R6,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,46.0848,64.7128,180.0,bottom
R7,4.7K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,46.0848,67.0496,180.0,bottom
R8,56k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,49.6916,58.2085,90.0,bottom
R9,4.7K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,70.7736,56.8896,180.0,bottom
R10,4.7K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,70.7736,59.9376,0.0,bottom
R11,120,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,66.9128,58.4136,90.0,bottom
R12,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,61.0708,64.5604,180.0,bottom
R13,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,61.0708,62.2236,180.0,bottom
R14,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.7708,28.34,180.0,bottom
R15,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.7708,26.0032,180.0,bottom
R16,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,58.7848,28.4924,180.0,bottom
R17,56k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,62.29,21.9919,90.0,bottom
R18,4.7K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,58.7848,30.8292,180.0,bottom
R19,4.7K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,80.1716,29.864,270.0,bottom
R20,4.7K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,83.2196,29.864,90.0,bottom
R21,120,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,81.6956,26.0032,0.0,bottom
RN1,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,122.488,45.5104,270.0,bottom
RN2,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,122.488,41.3956,270.0,bottom
RN3,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,122.488,37.2808,270.0,bottom
RN4,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,132.394,71.3168,0.0,bottom
RN5,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,108.683,45.5104,270.0,bottom
RN6,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,108.683,41.3956,270.0,bottom
RN7,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,108.683,37.2808,270.0,bottom
RN8,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,117.9668,70.3516,0.0,bottom
RN9,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,94.877,45.5104,270.0,bottom
RN10,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,94.877,41.3956,270.0,bottom
RN11,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,94.877,37.2808,270.0,bottom
RN12,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,104.1608,70.3516,0.0,bottom
U1,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,138.236,26.308,0.0,bottom
U2,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,124.419,69.8105,180.0,bottom
U3,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,110.367,69.8105,180.0,bottom
U4,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,109.534,16.402,90.0,bottom
U5,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,89.2825,63.911,90.0,bottom
U6,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,90.7557,25.4842,90.0,bottom
U7,74HC04,SOIC-14_3.9x8.7mm_P1.27mm,25.6124,47.8614,0.0,bottom
U8,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,37.906,53.74,0.0,bottom
U9,74HC04,SOIC-14_3.9x8.7mm_P1.27mm,53.7556,64.0524,180.0,bottom
U10,MAX3485,SOIC-8_3.9x4.9mm_P1.27mm,59.2278,57.3722,90.0,bottom
U11,74HC04,SOIC-14_3.9x8.7mm_P1.27mm,66.4556,27.832,180.0,bottom
U12,MAX3485,SOIC-8_3.9x4.9mm_P1.27mm,71.9278,21.1518,90.0,bottom
