Comment,Designator,Footprint,LCSC
HUB75,J11,PinSocket_2x08_P2.54mm_Vertical,
74CB3T3245,U5,TSSOP-20_4.4x6.5mm_P0.65mm,
33pF,C15,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
56k,R17,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1N4148W,D10,D_SOD-123,
HUB75,J6,PinSocket_2x08_P2.54mm_Vertical,
SM712_SOT23,D11,SOT-23,
74CB3T3245,U6,TSSOP-20_4.4x6.5mm_P0.65mm,
HUB75,J15,PinSocket_2x08_P2.54mm_Vertical,
74CB3T3245,U4,TSSOP-20_4.4x6.5mm_P0.65mm,
74CB3T3245,U3,TSSOP-20_4.4x6.5mm_P0.65mm,
v7.0,J7,PinHeader_1x04_P2.54mm_Vertical,
74CB3T3245,U2,TSSOP-20_4.4x6.5mm_P0.65mm,
74CB3T3245,U1,TSSOP-20_4.4x6.5mm_P0.65mm,
HUB75,J16,PinSocket_2x08_P2.54mm_Vertical,
SM712_SOT23,D5,SOT-23,
Conn_01x02,J10,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm_Relief,
HUB75,J5,PinSocket_2x08_P2.54mm_Vertical,
33pF,C10,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
HUB75,J9,PinSocket_2x08_P2.54mm_Vertical,
Conn_01x02_Pin,RS489-1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Conn_01x02_Pin,RS489-5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
LED,D9,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
LED,D6,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
LED,D7,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
LED,D8,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
Jumper_3_Open,JP6,PinHeader_1x03_P2.54mm_Vertical,
Jumper_3_Open,JP4,PinHeader_1x03_P2.54mm_Vertical,
Jumper_3_Open,JP1,PinHeader_1x03_P2.54mm_Vertical,
Jumper_3_Open,JP3,PinHeader_1x03_P2.54mm_Vertical,
Jumper_3_Open,JP5,PinHeader_1x03_P2.54mm_Vertical,
Jumper_3_Open,JP2,PinHeader_1x03_P2.54mm_Vertical,
